,CEN,NDC,congruent,is_a (input),overlaps (inferred),overlaps (input),is_a (inferred)
0,3,4,2,8,2,1,0
1,4,5,1,7,3,1,2
2,4,5,1,8,2,1,2
3,4,5,1,8,3,1,2
4,4,5,1,9,3,1,1
5,4,5,1,9,4,1,1
6,4,5,1,8,3,1,2
7,4,5,1,8,3,1,2
8,4,5,1,10,4,1,1
9,4,5,1,10,4,1,2
10,4,5,1,11,5,1,1
11,4,5,1,11,4,1,1
12,4,5,1,12,5,1,0
13,4,5,1,11,5,1,1
14,4,5,1,12,6,1,0
15,4,5,1,11,4,1,2
16,4,5,1,11,5,1,2
17,4,5,1,11,4,1,2
18,4,5,1,12,5,1,1
19,4,5,1,11,5,1,2
20,4,5,1,12,6,1,1
21,4,5,1,10,5,1,2
22,4,5,1,11,5,1,1
23,4,5,1,11,6,1,1
24,4,5,1,10,5,1,2
25,4,5,1,11,6,1,1
26,4,5,1,11,5,1,1
27,4,5,1,12,6,1,0
28,4,5,1,11,6,1,1
29,4,5,1,12,7,1,0
