,*NEW*,CEN,NDC,congruent,is_a (inferred),is_a (input)
0,18,4,5,1,39,7
1,12,4,5,1,27,8
2,13,4,5,1,26,7
3,7,4,5,1,14,8
4,11,4,5,1,25,7
5,7,4,5,1,18,7
6,8,4,5,1,17,6
7,4,4,5,1,10,6
8,14,4,5,1,28,8
9,8,4,5,1,16,9
10,7,4,5,1,14,8
11,3,4,5,1,7,8
12,20,4,5,1,40,7
13,14,4,5,1,28,8
14,13,4,5,1,26,7
15,7,4,5,1,14,8
16,14,4,5,1,28,8
17,7,4,5,1,14,8
18,9,4,5,1,18,8
19,3,4,5,1,7,8
20,13,4,5,1,26,7
21,8,4,5,1,17,6
22,8,4,5,1,17,7
23,3,4,5,1,8,6
24,8,4,5,1,17,7
25,3,4,5,1,8,6
26,24,4,5,1,51,6
27,18,4,5,1,39,7
28,18,4,5,1,39,7
29,12,4,5,1,27,8
30,19,4,5,1,38,6
31,13,4,5,1,26,7
32,14,4,5,1,28,6
33,9,4,5,1,19,7
34,17,4,5,1,37,6
35,11,4,5,1,25,7
36,12,4,5,1,24,6
37,8,4,5,1,17,6
38,12,4,5,1,27,6
39,7,4,5,1,18,7
40,8,4,5,1,17,6
41,5,3,4,2,10,7
42,17,4,5,1,37,6
43,12,4,5,1,27,6
44,13,4,5,1,27,5
45,8,4,5,1,17,5
46,12,4,5,1,26,6
47,7,4,5,1,16,6
48,11,4,5,1,26,5
49,7,4,5,1,16,4
50,6,4,5,1,15,5
